PersonaID,AgeGroup,Gender,EducationLevel,OccupationSector,Region,PoliticalIdeology,Trust_ScienceInstitutions,Belief_ClimateExists,Emotional_WorryAboutClimate,BehaviouralOrientation,SocialConnectivity
P0403,45+,Male,Bachelor’s,Farming/Agriculture,US West,Moderate Conservative,Moderate,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0899,25-34,Other/Non-binary,Bachelor’s,Service/Office,US West,Moderate Conservative,Moderate,Strongly disagree,Neutral / not very worried,Somewhat inactive,High
P0858,25-34,Female,High School or less,Manufacturing/Industrial,US Midwest,Moderate Conservative,Moderate,Strongly disagree,Very worried,Neutral,High
P0286,45+,Male,High School or less,Education/Academic,Other,Conservative,Very high,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0861,35-44,Male,Bachelor’s,Service/Office,Europe-North,Centrist,Low,Strongly disagree,Somewhat worried,Neutral,Medium
P0859,25-34,Male,Bachelor’s,Manufacturing/Industrial,Europe-North,Conservative,Very low,Strongly disagree,Somewhat not worried,Somewhat inactive,Medium
P0271,45+,Male,Bachelor’s,Public sector,US Midwest,Moderate Conservative,High,Strongly disagree,Somewhat not worried,Somewhat inactive,High
P0885,18-24,Male,Bachelor’s,Service/Office,Global South,Centrist,High,Strongly disagree,Very worried,Neutral,Medium
P0235,18-24,Male,Bachelor’s,Farming/Agriculture,US South,Conservative,High,Strongly disagree,Very worried,Neutral,Low
P0981,18-24,Female,High School or less,Tech/IT,Other,Moderate Conservative,Very low,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0756,35-44,Male,Master’s/PhD,Farming/Agriculture,US South,Conservative,High,Strongly disagree,Somewhat worried,Neutral,Medium
P0140,45+,Male,Master’s/PhD,Service/Office,US Midwest,Conservative,High,Strongly disagree,Very worried,Neutral,Medium
P0014,45+,Male,High School or less,Service/Office,Global South,Liberal,High,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0496,45+,Female,Bachelor’s,Manufacturing/Industrial,US West,Conservative,Moderate,Strongly disagree,Somewhat worried,Neutral,Low
P0263,25-34,Female,Master’s/PhD,Farming/Agriculture,Other,Centrist,Moderate,Strongly disagree,Very worried,Somewhat inactive,Medium
P0730,45+,Male,Bachelor’s,Farming/Agriculture,Europe-North,Conservative,Low,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0136,35-44,Male,Bachelor’s,Service/Office,US Northeast,Conservative,Moderate,Strongly disagree,Not worried at all,Somewhat inactive,Low
P0134,25-34,Male,Bachelor’s,Public sector,Global South,Conservative,Moderate,Strongly disagree,Somewhat worried,Neutral,Low
P0745,45+,Male,Bachelor’s,Service/Office,Other,Moderate Conservative,Low,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0743,35-44,Female,Bachelor’s,Tech/IT,US South,Conservative,High,Strongly disagree,Somewhat worried,Somewhat inactive,Low
P0733,35-44,Female,Bachelor’s,Service/Office,US Midwest,Conservative,Very low,Strongly disagree,Somewhat worried,Neutral,High
P0599,45+,Male,Master’s/PhD,Education/Academic,US Midwest,Conservative,Moderate,Strongly disagree,Very worried,Neutral,Medium
P0769,45+,Female,Bachelor’s,Manufacturing/Industrial,Global South,Conservative,Low,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0863,45+,Other/Non-binary,Master’s/PhD,Public sector,US South,Moderate Conservative,Very high,Strongly disagree,Somewhat worried,Neutral,Medium
P0504,35-44,Male,Bachelor’s,Manufacturing/Industrial,Europe-North,Moderate Conservative,Moderate,Strongly disagree,Very worried,Neutral,Low
P0699,35-44,Other/Non-binary,High School or less,Tech/IT,US West,Conservative,Moderate,Strongly disagree,Neutral / not very worried,Neutral,Medium
P0897,45+,Other/Non-binary,Bachelor’s,Education/Academic,US South,Conservative,Moderate,Strongly disagree,Somewhat worried,Somewhat inactive,Low
P0447,18-24,Male,Bachelor’s,Service/Office,US West,Moderate Conservative,Moderate,Strongly disagree,Somewhat worried,Neutral,Low
P0520,25-34,Female,Master’s/PhD,Tech/IT,US Midwest,Centrist,Very high,Strongly disagree,Somewhat worried,Neutral,Low
P0779,45+,Male,High School or less,Service/Office,US South,Moderate Conservative,Very low,Strongly disagree,Somewhat not worried,Somewhat inactive,High
P0700,45+,Female,Bachelor’s,Construction/Outdoor,US West,Conservative,Moderate,Strongly disagree,Very worried,Neutral,Low
P0145,18-24,Male,High School or less,Tech/IT,US South,Conservative,Very low,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0646,35-44,Male,Bachelor’s,Construction/Outdoor,US West,Conservative,High,Strongly disagree,Very worried,Neutral,Low
P0031,45+,Male,Master’s/PhD,Farming/Agriculture,Global South,Conservative,High,Strongly disagree,Somewhat worried,Neutral,Low
P0227,45+,Other/Non-binary,Bachelor’s,Farming/Agriculture,Other,Moderate Conservative,Very low,Strongly disagree,Very worried,Somewhat inactive,Low
P0977,25-34,Female,High School or less,Service/Office,Europe-North,Conservative,Very low,Strongly disagree,Somewhat not worried,Not oriented to action,Low
P0975,45+,Female,Bachelor’s,Construction/Outdoor,Global South,Conservative,Very high,Strongly disagree,Very worried,Neutral,Low
P0513,25-34,Female,Bachelor’s,Manufacturing/Industrial,US Midwest,Moderate Conservative,Moderate,Strongly disagree,Very worried,Neutral,Medium
P0141,45+,Male,High School or less,Farming/Agriculture,Europe-North,Conservative,Very low,Slightly disagree,Neutral / not very worried,Somewhat inactive,Low
P0333,45+,Male,Bachelor’s,Farming/Agriculture,US South,Centrist,Low,Slightly disagree,Somewhat not worried,Somewhat inactive,Low
P0617,35-44,Female,High School or less,Farming/Agriculture,Europe-North,Moderate Conservative,Very low,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0621,45+,Other/Non-binary,Master’s/PhD,Tech/IT,Global South,Moderate Conservative,Moderate,Slightly disagree,Somewhat worried,Somewhat inactive,Low
P0841,25-34,Female,High School or less,Public sector,Global South,Moderate Liberal,High,Slightly disagree,Very worried,Neutral,High
P0146,18-24,Male,Bachelor’s,Service/Office,US Midwest,Conservative,High,Slightly disagree,Neutral / not very worried,Somewhat inactive,Low
P0354,25-34,Female,Bachelor’s,Service/Office,Europe-North,Moderate Conservative,Low,Slightly disagree,Very worried,Neutral,Medium
P0627,25-34,Male,Master’s/PhD,Service/Office,US West,Moderate Conservative,High,Slightly disagree,Somewhat worried,Neutral,High
P0137,18-24,Female,Bachelor’s,Education/Academic,Europe-North,Conservative,High,Slightly disagree,Very worried,Neutral,High
P0631,35-44,Male,Bachelor’s,Tech/IT,Europe-North,Moderate Liberal,Moderate,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0159,18-24,Male,High School or less,Tech/IT,US West,Moderate Conservative,Very low,Slightly disagree,Very worried,Somewhat inactive,High
P0331,25-34,Male,Master’s/PhD,Tech/IT,US South,Moderate Conservative,Very high,Slightly disagree,Somewhat not worried,Somewhat inactive,Low
P0866,18-24,Female,Master’s/PhD,Tech/IT,Global South,Liberal,Very high,Slightly disagree,Very worried,Neutral,Medium
P0865,25-34,Male,Bachelor’s,Tech/IT,Europe-North,Conservative,High,Slightly disagree,Somewhat worried,Neutral,Medium
P0500,45+,Other/Non-binary,Bachelor’s,Service/Office,Other,Centrist,High,Slightly disagree,Somewhat not worried,Somewhat inactive,Medium
P0840,35-44,Male,Master’s/PhD,Public sector,US West,Moderate Conservative,Moderate,Slightly disagree,Somewhat worried,Neutral,Medium
P0780,45+,Female,Bachelor’s,Service/Office,US Midwest,Conservative,Moderate,Slightly disagree,Very worried,Neutral,High
P0706,18-24,Male,Master’s/PhD,Service/Office,US Midwest,Moderate Conservative,High,Slightly disagree,Somewhat not worried,Somewhat inactive,High
P0708,25-34,Male,Bachelor’s,Manufacturing/Industrial,US West,Centrist,Very high,Slightly disagree,Somewhat worried,Neutral,High
P0709,25-34,Male,Bachelor’s,Environmental/NGO,US Midwest,Centrist,Very low,Slightly disagree,Not worried at all,Not oriented to action,Medium
P0766,25-34,Male,Master’s/PhD,Public sector,Global South,Moderate Liberal,Moderate,Slightly disagree,Somewhat worried,Somewhat inactive,High
P0711,25-34,Female,Bachelor’s,Service/Office,Europe-North,Liberal,Moderate,Slightly disagree,Neutral / not very worried,Somewhat inactive,Low
P0270,35-44,Male,Bachelor’s,Environmental/NGO,Other,Moderate Liberal,Very low,Slightly disagree,Neutral / not very worried,Somewhat inactive,Low
P0716,35-44,Female,Master’s/PhD,Manufacturing/Industrial,US Northeast,Moderate Conservative,High,Slightly disagree,Very worried,Neutral,Medium
P0723,35-44,Female,High School or less,Service/Office,Europe-North,Moderate Liberal,Moderate,Slightly disagree,Very worried,Somewhat inactive,Low
P0240,18-24,Female,Bachelor’s,Service/Office,Europe-North,Moderate Conservative,Very low,Slightly disagree,Very worried,Neutral,Medium
P0749,45+,Male,Master’s/PhD,Construction/Outdoor,US Northeast,Conservative,Moderate,Slightly disagree,Neutral / not very worried,Not oriented to action,Medium
P0746,45+,Female,Bachelor’s,Service/Office,US South,Moderate Conservative,High,Slightly disagree,Very worried,Neutral,Low
P0247,45+,Male,Bachelor’s,Service/Office,US Midwest,Conservative,Low,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0248,25-34,Male,Bachelor’s,Manufacturing/Industrial,US Northeast,Moderate Liberal,Moderate,Slightly disagree,Neutral / not very worried,Somewhat inactive,Low
P0744,35-44,Female,Bachelor’s,Environmental/NGO,US South,Moderate Conservative,High,Slightly disagree,Neutral / not very worried,Somewhat inactive,High
P0284,25-34,Male,High School or less,Tech/IT,Global South,Conservative,Very low,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0168,35-44,Male,Master’s/PhD,Manufacturing/Industrial,Other,Centrist,High,Slightly disagree,Somewhat worried,Neutral,High
P0787,45+,Female,Master’s/PhD,Environmental/NGO,Global South,Moderate Liberal,Moderate,Slightly disagree,Somewhat worried,Neutral,Low
P0212,25-34,Female,High School or less,Environmental/NGO,Europe-North,Moderate Liberal,Low,Slightly disagree,Very worried,Neutral,Medium
P0837,18-24,Male,Bachelor’s,Construction/Outdoor,Europe-North,Centrist,High,Slightly disagree,Somewhat worried,Neutral,Medium
P0172,35-44,Female,Bachelor’s,Manufacturing/Industrial,US Midwest,Conservative,High,Slightly disagree,Very worried,Neutral,High
P0835,25-34,Female,High School or less,Service/Office,US South,Conservative,Very low,Slightly disagree,Somewhat not worried,Somewhat inactive,High
P0180,25-34,Male,Master’s/PhD,Education/Academic,US Midwest,Moderate Conservative,High,Slightly disagree,Very worried,Neutral,Medium
P0318,25-34,Female,Bachelor’s,Environmental/NGO,US Northeast,Centrist,High,Slightly disagree,Somewhat not worried,Somewhat inactive,High
P0191,45+,Other/Non-binary,Bachelor’s,Service/Office,US Midwest,Moderate Conservative,High,Slightly disagree,Somewhat not worried,Somewhat inactive,Medium
P0810,25-34,Male,Master’s/PhD,Service/Office,Global South,Moderate Conservative,Very high,Slightly disagree,Very worried,Neutral,Medium
P0674,25-34,Female,Bachelor’s,Environmental/NGO,Europe-North,Moderate Liberal,Moderate,Slightly disagree,Somewhat worried,Somewhat inactive,High
P0199,45+,Male,High School or less,Construction/Outdoor,US South,Moderate Conservative,Moderate,Slightly disagree,Neutral / not very worried,Somewhat inactive,High
P0803,18-24,Female,Bachelor’s,Tech/IT,US Midwest,Moderate Conservative,High,Slightly disagree,Very worried,Neutral,Low
P0802,18-24,Male,High School or less,Environmental/NGO,US West,Centrist,High,Slightly disagree,Somewhat not worried,Not oriented to action,Medium
P0202,35-44,Female,Bachelor’s,Farming/Agriculture,US Midwest,Moderate Conservative,Moderate,Slightly disagree,Very worried,Neutral,High
P0206,35-44,Female,High School or less,Farming/Agriculture,US South,Conservative,Moderate,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0691,18-24,Female,Master’s/PhD,Service/Office,US West,Moderate Conservative,High,Slightly disagree,Somewhat worried,Neutral,High
P0211,45+,Female,Bachelor’s,Education/Academic,US West,Conservative,Moderate,Slightly disagree,Somewhat not worried,Somewhat inactive,Medium
P0696,25-34,Male,Bachelor’s,Service/Office,Europe-North,Conservative,Moderate,Slightly disagree,Somewhat worried,Somewhat inactive,High
P0869,25-34,Female,Bachelor’s,Construction/Outdoor,Global South,Moderate Conservative,High,Slightly disagree,Very worried,Neutral,Medium
P0876,35-44,Male,High School or less,Education/Academic,Europe-North,Conservative,Very low,Slightly disagree,Very worried,Neutral,High
P0022,18-24,Female,Bachelor’s,Manufacturing/Industrial,US Midwest,Conservative,High,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0983,25-34,Female,High School or less,Tech/IT,US Northeast,Liberal,Moderate,Slightly disagree,Neutral / not very worried,Somewhat inactive,High
P0020,45+,Male,Master’s/PhD,Service/Office,US West,Conservative,Very low,Slightly disagree,Very worried,Somewhat inactive,Medium
P0917,25-34,Female,Bachelor’s,Manufacturing/Industrial,Europe-North,Centrist,Very high,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0021,45+,Female,Bachelor’s,Education/Academic,US Northeast,Centrist,Moderate,Slightly disagree,Not worried at all,Somewhat inactive,High
P0531,35-44,Male,High School or less,Tech/IT,US South,Centrist,Low,Slightly disagree,Somewhat worried,Neutral,High
P0460,25-34,Female,High School or less,Service/Office,US South,Moderate Conservative,Low,Slightly disagree,Not worried at all,Not oriented to action,Medium
P0921,18-24,Female,Master’s/PhD,Public sector,Other,Moderate Conservative,High,Slightly disagree,Somewhat not worried,Somewhat inactive,Medium
P0086,45+,Female,Master’s/PhD,Education/Academic,US South,Moderate Conservative,High,Slightly disagree,Somewhat worried,Somewhat inactive,High
P0501,18-24,Other/Non-binary,Master’s/PhD,Service/Office,Europe-North,Conservative,High,Slightly disagree,Neutral / not very worried,Neutral,Low
P0974,25-34,Male,High School or less,Education/Academic,Europe-North,Moderate Conservative,Moderate,Slightly disagree,Somewhat worried,Somewhat inactive,Low
P0032,25-34,Male,High School or less,Manufacturing/Industrial,Global South,Conservative,Moderate,Slightly disagree,Not worried at all,Somewhat inactive,Medium
P0402,18-24,Female,High School or less,Service/Office,US Midwest,Moderate Conservative,Low,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0386,45+,Male,Master’s/PhD,Construction/Outdoor,US West,Conservative,Moderate,Slightly disagree,Somewhat not worried,Somewhat inactive,Medium
P0077,35-44,Male,Bachelor’s,Environmental/NGO,US South,Moderate Conservative,Moderate,Slightly disagree,Somewhat not worried,Somewhat inactive,Medium
P0407,45+,Female,High School or less,Manufacturing/Industrial,Other,Moderate Conservative,Low,Slightly disagree,Very worried,Neutral,Medium
P0072,35-44,Female,Bachelor’s,Manufacturing/Industrial,Global South,Conservative,High,Slightly disagree,Somewhat not worried,Somewhat inactive,Medium
P0970,25-34,Female,Bachelor’s,Service/Office,US South,Centrist,Very low,Slightly disagree,Somewhat not worried,Not oriented to action,High
P0412,25-34,Female,High School or less,Tech/IT,Global South,Moderate Conservative,Moderate,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0446,18-24,Female,Bachelor’s,Construction/Outdoor,US West,Moderate Liberal,Moderate,Slightly disagree,Neutral / not very worried,Somewhat inactive,High
P0547,35-44,Female,High School or less,Farming/Agriculture,Global South,Centrist,Very low,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0523,45+,Female,Bachelor’s,Education/Academic,US West,Centrist,Moderate,Slightly disagree,Somewhat not worried,Somewhat inactive,Medium
P0529,45+,Male,Master’s/PhD,Farming/Agriculture,US South,Moderate Conservative,High,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0426,45+,Male,High School or less,Education/Academic,US South,Conservative,High,Slightly disagree,Somewhat worried,Neutral,Medium
P0055,25-34,Female,Bachelor’s,Manufacturing/Industrial,US Northeast,Conservative,Very high,Slightly disagree,Neutral / not very worried,Neutral,Medium
P0535,25-34,Female,High School or less,Service/Office,US South,Liberal,Low,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0435,25-34,Other/Non-binary,Bachelor’s,Tech/IT,US South,Liberal,Very high,Slightly disagree,Somewhat worried,Neutral,Medium
P0076,35-44,Male,Bachelor’s,Tech/IT,Global South,Conservative,Moderate,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0912,18-24,Male,Master’s/PhD,Education/Academic,Europe-North,Conservative,Moderate,Slightly disagree,Very worried,Neutral,Low
P0050,18-24,Female,Master’s/PhD,Farming/Agriculture,US Northeast,Moderate Liberal,High,Slightly disagree,Neutral / not very worried,Somewhat inactive,High
P0902,18-24,Female,High School or less,Public sector,US Northeast,Moderate Conservative,Low,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0895,45+,Female,Bachelor’s,Manufacturing/Industrial,Europe-North,Conservative,Moderate,Slightly disagree,Neutral / not very worried,Somewhat inactive,High
P0114,35-44,Male,Master’s/PhD,Farming/Agriculture,Global South,Conservative,Moderate,Slightly disagree,Somewhat worried,Neutral,Low
P0993,35-44,Female,High School or less,Service/Office,US South,Centrist,High,Slightly disagree,Somewhat worried,Neutral,High
P0372,45+,Female,Bachelor’s,Tech/IT,Europe-North,Conservative,Low,Slightly disagree,Somewhat worried,Neutral,Medium
P0879,35-44,Male,Bachelor’s,Manufacturing/Industrial,Global South,Conservative,Moderate,Slightly disagree,Not worried at all,Somewhat inactive,Medium
P0362,25-34,Other/Non-binary,Master’s/PhD,Construction/Outdoor,Global South,Centrist,Moderate,Slightly disagree,Neutral / not very worried,Neutral,Medium
P0004,45+,Male,Bachelor’s,Education/Academic,Europe-North,Conservative,Moderate,Slightly disagree,Somewhat worried,Neutral,Medium
P0126,35-44,Male,Master’s/PhD,Service/Office,US Northeast,Conservative,Moderate,Slightly disagree,Very worried,Neutral,Medium
P0376,18-24,Male,Master’s/PhD,Education/Academic,Other,Conservative,Moderate,Slightly disagree,Not worried at all,Not oriented to action,Medium
P0585,25-34,Male,Master’s/PhD,Manufacturing/Industrial,US South,Conservative,Low,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0483,45+,Female,Bachelor’s,Construction/Outdoor,US West,Moderate Conservative,High,Slightly disagree,Not worried at all,Not oriented to action,Low
P0909,25-34,Male,High School or less,Education/Academic,US Midwest,Centrist,Low,Slightly disagree,Somewhat not worried,Somewhat inactive,Medium
P0011,45+,Male,Bachelor’s,Construction/Outdoor,Other,Conservative,High,Slightly disagree,Very worried,Neutral,Low
P0464,45+,Female,Master’s/PhD,Tech/IT,US Midwest,Moderate Conservative,High,Slightly disagree,Very worried,Neutral,Low
P0006,35-44,Male,Bachelor’s,Construction/Outdoor,US West,Conservative,Moderate,Slightly disagree,Somewhat not worried,Somewhat inactive,Low
P0499,18-24,Male,Bachelor’s,Manufacturing/Industrial,US West,Conservative,High,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0582,35-44,Male,Master’s/PhD,Manufacturing/Industrial,US West,Moderate Conservative,Very low,Slightly disagree,Somewhat worried,Somewhat inactive,Low
P0907,25-34,Male,Master’s/PhD,Public sector,US South,Moderate Conservative,Very high,Slightly disagree,Very worried,Somewhat inactive,Medium
P0607,25-34,Female,High School or less,Tech/IT,Global South,Centrist,Moderate,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0472,45+,Female,High School or less,Farming/Agriculture,Global South,Moderate Conservative,Moderate,Neutral,Somewhat worried,Somewhat inactive,Medium
P0697,18-24,Male,Bachelor’s,Education/Academic,Europe-North,Conservative,Low,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0462,18-24,Male,Bachelor’s,Manufacturing/Industrial,US West,Conservative,High,Neutral,Neutral / not very worried,Somewhat inactive,Low
P0438,45+,Male,Bachelor’s,Service/Office,Other,Conservative,Very low,Neutral,Very worried,Somewhat inactive,High
P0437,18-24,Other/Non-binary,Master’s/PhD,Manufacturing/Industrial,Europe-North,Conservative,Very high,Neutral,Neutral / not very worried,Neutral,Low
P0482,35-44,Male,High School or less,Tech/IT,Europe-North,Moderate Conservative,High,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0692,45+,Other/Non-binary,High School or less,Environmental/NGO,US South,Centrist,Low,Neutral,Not worried at all,Not oriented to action,Medium
P0475,18-24,Other/Non-binary,High School or less,Farming/Agriculture,Global South,Moderate Conservative,Moderate,Neutral,Very worried,Neutral,Low
P0289,45+,Female,High School or less,Construction/Outdoor,Global South,Moderate Conservative,High,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0443,45+,Female,Bachelor’s,Education/Academic,US Northeast,Conservative,Moderate,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0518,45+,Female,High School or less,Service/Office,Global South,Centrist,Low,Neutral,Very worried,Somewhat inactive,Low
P0445,18-24,Female,Bachelor’s,Education/Academic,US Midwest,Moderate Conservative,Very low,Neutral,Somewhat worried,Somewhat inactive,Medium
P0449,35-44,Male,High School or less,Construction/Outdoor,Europe-North,Moderate Liberal,Moderate,Neutral,Very worried,Neutral,Low
P0283,45+,Male,Bachelor’s,Service/Office,US South,Moderate Liberal,High,Neutral,Neutral / not very worried,Neutral,Medium
P0720,18-24,Female,Bachelor’s,Service/Office,Other,Conservative,Very low,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0704,35-44,Male,Bachelor’s,Construction/Outdoor,US Northeast,Moderate Conservative,High,Neutral,Somewhat not worried,Not oriented to action,Medium
P0452,18-24,Female,Bachelor’s,Tech/IT,Europe-North,Moderate Conservative,High,Neutral,Somewhat not worried,Somewhat inactive,High
P0469,35-44,Male,Master’s/PhD,Tech/IT,Europe-North,Centrist,Very low,Neutral,Very worried,Somewhat inactive,Low
P0727,35-44,Female,High School or less,Service/Office,Global South,Liberal,High,Neutral,Neutral / not very worried,Somewhat inactive,High
P0459,45+,Female,Bachelor’s,Tech/IT,Global South,Centrist,High,Neutral,Neutral / not very worried,Somewhat inactive,Low
P0710,45+,Female,Bachelor’s,Environmental/NGO,Europe-North,Moderate Liberal,Moderate,Neutral,Somewhat not worried,Somewhat inactive,Medium
P0492,18-24,Other/Non-binary,Bachelor’s,Environmental/NGO,US West,Conservative,Low,Neutral,Very worried,Neutral,Medium
P0265,18-24,Female,Master’s/PhD,Tech/IT,Other,Liberal,High,Neutral,Somewhat worried,Somewhat inactive,High
P0461,18-24,Other/Non-binary,Bachelor’s,Public sector,Europe-North,Moderate Liberal,Moderate,Neutral,Neutral / not very worried,Somewhat inactive,Medium
