PersonaID,AgeGroup,Gender,EducationLevel,OccupationSector,Region,PoliticalIdeology,Trust_ScienceInstitutions,Belief_ClimateExists,Belief_HumanContribution,Emotional_WorryAboutClimate,BehaviouralOrientation,SocialConnectivity
P0291,18-24,Female,Bachelor’s,Tech/IT,US South,Moderate Liberal,Very high,Slightly agree,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0158,45+,Female,High School or less,Tech/IT,Europe-North,Moderate Conservative,High,Neutral,Strongly agree,Not worried at all,Somewhat inactive,High
P0406,35-44,Male,High School or less,Construction/Outdoor,US Northeast,Centrist,Very low,Strongly disagree,Slightly disagree,Very worried,Neutral,Medium
P0001,35-44,Male,High School or less,Manufacturing/Industrial,Global South,Moderate Conservative,Very low,Strongly agree,Neutral,Very worried,Neutral,Medium
P0199,45+,Male,High School or less,Construction/Outdoor,US South,Moderate Conservative,Moderate,Slightly disagree,Strongly agree,Neutral / not very worried,Somewhat inactive,High
P0757,35-44,Female,Master’s/PhD,Service/Office,Europe-North,Liberal,Very high,Slightly agree,Strongly agree,Very worried,Neutral,Medium
P0828,25-34,Other/Non-binary,Bachelor’s,Tech/IT,US West,Moderate Liberal,Very high,Strongly agree,Strongly agree,Neutral / not very worried,Somewhat inactive,Medium
P0276,25-34,Male,Bachelor’s,Tech/IT,Global South,Moderate Liberal,High,Strongly agree,Strongly agree,Somewhat worried,Neutral,Low
P0441,25-34,Female,Master’s/PhD,Education/Academic,US Northeast,Conservative,Very low,Strongly disagree,Neutral,Somewhat worried,Somewhat inactive,Medium
P0941,45+,Female,Bachelor’s,Tech/IT,US West,Moderate Liberal,Moderate,Slightly agree,Slightly disagree,Very worried,Somewhat inactive,Medium
P0202,35-44,Female,Bachelor’s,Farming/Agriculture,US Midwest,Moderate Conservative,Moderate,Slightly disagree,Strongly agree,Very worried,Neutral,High
P0569,25-34,Male,High School or less,Manufacturing/Industrial,US West,Conservative,Low,Strongly disagree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0300,45+,Female,Master’s/PhD,Farming/Agriculture,Global South,Centrist,Moderate,Slightly agree,Strongly agree,Very worried,Neutral,Low
P0964,25-34,Female,Bachelor’s,Manufacturing/Industrial,Global South,Conservative,High,Slightly agree,Neutral,Somewhat worried,Somewhat inactive,Medium
P0292,35-44,Male,Bachelor’s,Farming/Agriculture,Global South,Moderate Conservative,Very high,Strongly disagree,Strongly agree,Somewhat worried,Neutral,High
P0037,25-34,Female,Bachelor’s,Service/Office,US West,Liberal,High,Neutral,Slightly agree,Very worried,Neutral,High
P0146,18-24,Male,Bachelor’s,Service/Office,US Midwest,Conservative,High,Slightly disagree,Slightly agree,Neutral / not very worried,Somewhat inactive,Low
P0583,45+,Male,Master’s/PhD,Tech/IT,Global South,Moderate Conservative,Low,Neutral,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0054,18-24,Female,High School or less,Service/Office,Europe-North,Moderate Liberal,Very high,Neutral,Strongly agree,Very worried,Neutral,Low
P0977,25-34,Female,High School or less,Service/Office,Europe-North,Conservative,Very low,Strongly disagree,Strongly disagree,Somewhat not worried,Not oriented to action,Low
P0282,45+,Female,High School or less,Service/Office,Other,Moderate Liberal,Very low,Slightly agree,Strongly disagree,Somewhat worried,Somewhat inactive,Low
P0568,25-34,Male,High School or less,Service/Office,US West,Moderate Conservative,High,Neutral,Slightly agree,Somewhat not worried,Somewhat inactive,High
P0305,25-34,Female,Bachelor’s,Service/Office,Global South,Conservative,High,Strongly disagree,Strongly agree,Very worried,Neutral,Low
P0451,18-24,Male,Bachelor’s,Farming/Agriculture,Global South,Moderate Conservative,Low,Slightly agree,Strongly disagree,Very worried,Somewhat inactive,Medium
P0616,35-44,Female,High School or less,Construction/Outdoor,US Midwest,Moderate Conservative,Very low,Neutral,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0920,35-44,Female,Bachelor’s,Farming/Agriculture,US South,Liberal,High,Strongly agree,Strongly agree,Somewhat worried,Neutral,Medium
P0897,45+,Other/Non-binary,Bachelor’s,Education/Academic,US South,Conservative,Moderate,Strongly disagree,Slightly agree,Somewhat worried,Somewhat inactive,Low
P0960,35-44,Male,Bachelor’s,Manufacturing/Industrial,US Northeast,Liberal,Moderate,Slightly agree,Slightly agree,Very worried,Neutral,Low
P0659,18-24,Female,Master’s/PhD,Service/Office,US South,Liberal,Very high,Neutral,Strongly agree,Very worried,Neutral,Medium
P0332,45+,Female,Bachelor’s,Manufacturing/Industrial,Global South,Moderate Conservative,High,Neutral,Slightly disagree,Somewhat worried,Somewhat inactive,Low
P0974,25-34,Male,High School or less,Education/Academic,Europe-North,Moderate Conservative,Moderate,Slightly disagree,Slightly agree,Somewhat worried,Somewhat inactive,Low
P0510,45+,Male,Bachelor’s,Farming/Agriculture,US Midwest,Liberal,Moderate,Slightly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Low
P0191,45+,Other/Non-binary,Bachelor’s,Service/Office,US Midwest,Moderate Conservative,High,Slightly disagree,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0471,25-34,Female,Bachelor’s,Education/Academic,Global South,Centrist,Very high,Slightly agree,Strongly agree,Somewhat worried,Neutral,High
P0780,45+,Female,Bachelor’s,Service/Office,US Midwest,Conservative,Moderate,Slightly disagree,Strongly agree,Very worried,Neutral,High
P0574,18-24,Male,Bachelor’s,Public sector,Europe-North,Liberal,Very low,Slightly agree,Neutral,Somewhat not worried,Somewhat inactive,Medium
P0123,45+,Female,Master’s/PhD,Service/Office,Other,Conservative,High,Neutral,Strongly agree,Neutral / not very worried,Neutral,Low
P0674,25-34,Female,Bachelor’s,Environmental/NGO,Europe-North,Moderate Liberal,Moderate,Slightly disagree,Slightly agree,Somewhat worried,Somewhat inactive,High
P0424,25-34,Male,Bachelor’s,Service/Office,US South,Moderate Liberal,High,Strongly agree,Strongly agree,Somewhat worried,Neutral,High
P0051,35-44,Female,High School or less,Education/Academic,Global South,Centrist,High,Strongly disagree,Slightly agree,Somewhat worried,Neutral,Medium
P0614,35-44,Female,Master’s/PhD,Service/Office,Europe-North,Moderate Conservative,High,Slightly agree,Strongly agree,Very worried,Neutral,High
P0087,45+,Male,Master’s/PhD,Public sector,Global South,Conservative,Very low,Strongly disagree,Neutral,Somewhat not worried,Somewhat inactive,High
P0134,25-34,Male,Bachelor’s,Public sector,Global South,Conservative,Moderate,Strongly disagree,Slightly agree,Somewhat worried,Neutral,Low
P0357,35-44,Female,Master’s/PhD,Manufacturing/Industrial,Europe-North,Liberal,High,Strongly agree,Slightly agree,Somewhat not worried,Somewhat inactive,Medium
P0766,25-34,Male,Master’s/PhD,Public sector,Global South,Moderate Liberal,Moderate,Slightly disagree,Slightly agree,Somewhat worried,Somewhat inactive,High
P0663,25-34,Female,Bachelor’s,Public sector,Europe-North,Conservative,Very high,Strongly disagree,Strongly agree,Not worried at all,Somewhat inactive,Medium
