PersonaID,AgeGroup,Gender,EducationLevel,OccupationSector,Region,PoliticalIdeology,Trust_ScienceInstitutions,Belief_ClimateExists,Belief_HumanContribution,Emotional_WorryAboutClimate,BehaviouralOrientation,SocialConnectivity
P0032,25-34,Male,High School or less,Manufacturing/Industrial,Global South,Conservative,Moderate,Slightly disagree,Slightly agree,Not worried at all,Somewhat inactive,Medium
P0033,45+,Male,Master’s/PhD,Construction/Outdoor,Other,Moderate Liberal,Very high,Strongly agree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0034,35-44,Male,Bachelor’s,Manufacturing/Industrial,Global South,Liberal,Low,Strongly agree,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0035,25-34,Male,Bachelor’s,Manufacturing/Industrial,US South,Moderate Conservative,Low,Slightly agree,Slightly agree,Somewhat worried,Neutral,Medium
P0036,25-34,Male,Bachelor’s,Public sector,Europe-North,Conservative,Moderate,Neutral,Slightly agree,Very worried,Neutral,Medium
P0037,25-34,Female,Bachelor’s,Service/Office,US West,Liberal,High,Neutral,Slightly agree,Very worried,Neutral,High
P0038,35-44,Female,High School or less,Education/Academic,Global South,Moderate Conservative,High,Strongly agree,Strongly agree,Very worried,Neutral,Medium
P0039,45+,Male,Bachelor’s,Tech/IT,US Midwest,Moderate Conservative,Moderate,Slightly agree,Neutral,Very worried,Somewhat inactive,Low
P0040,45+,Male,Bachelor’s,Construction/Outdoor,Other,Centrist,Very high,Strongly agree,Slightly agree,Somewhat worried,Neutral,Low
P0041,35-44,Other/Non-binary,Bachelor’s,Environmental/NGO,Global South,Centrist,Moderate,Slightly agree,Neutral,Somewhat worried,Somewhat inactive,Low
P0042,45+,Female,High School or less,Manufacturing/Industrial,Europe-North,Moderate Conservative,Moderate,Neutral,Strongly agree,Very worried,Neutral,Medium
P0043,25-34,Male,Bachelor’s,Construction/Outdoor,US South,Moderate Conservative,Moderate,Strongly agree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0044,25-34,Male,Master’s/PhD,Tech/IT,Europe-North,Conservative,Moderate,Neutral,Strongly agree,Somewhat worried,Neutral,Low
P0045,45+,Other/Non-binary,Bachelor’s,Education/Academic,Europe-North,Centrist,High,Strongly agree,Strongly agree,Very worried,Neutral,Medium
P0046,35-44,Male,High School or less,Service/Office,US Midwest,Centrist,Very high,Slightly agree,Strongly agree,Very worried,Neutral,Medium
P0047,18-24,Female,High School or less,Service/Office,US South,Moderate Liberal,Low,Strongly agree,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0048,18-24,Male,Bachelor’s,Environmental/NGO,US South,Moderate Conservative,Low,Neutral,Slightly disagree,Somewhat not worried,Somewhat inactive,High
P0049,18-24,Male,High School or less,Tech/IT,Europe-North,Liberal,Moderate,Slightly agree,Strongly agree,Somewhat worried,Neutral,Low
P0050,18-24,Female,Master’s/PhD,Farming/Agriculture,US Northeast,Moderate Liberal,High,Slightly disagree,Strongly agree,Neutral / not very worried,Somewhat inactive,High
P0051,35-44,Female,High School or less,Education/Academic,Global South,Centrist,High,Strongly disagree,Slightly agree,Somewhat worried,Neutral,Medium
P0052,25-34,Female,High School or less,Public sector,Global South,Liberal,Very low,Strongly agree,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0053,45+,Other/Non-binary,High School or less,Education/Academic,Europe-North,Centrist,Moderate,Neutral,Strongly agree,Somewhat not worried,Somewhat inactive,Low
P0054,18-24,Female,High School or less,Service/Office,Europe-North,Moderate Liberal,Very high,Neutral,Strongly agree,Very worried,Neutral,Low
P0055,25-34,Female,Bachelor’s,Manufacturing/Industrial,US Northeast,Conservative,Very high,Slightly disagree,Strongly agree,Neutral / not very worried,Neutral,Medium
P0056,35-44,Female,Master’s/PhD,Farming/Agriculture,US South,Moderate Conservative,High,Neutral,Strongly agree,Somewhat worried,Neutral,Medium
P0057,45+,Male,Bachelor’s,Manufacturing/Industrial,US South,Liberal,High,Strongly agree,Strongly agree,Neutral / not very worried,Somewhat inactive,High
P0058,25-34,Female,Bachelor’s,Environmental/NGO,Europe-North,Moderate Liberal,Very high,Strongly agree,Strongly agree,Very worried,Neutral,High
P0059,35-44,Male,Master’s/PhD,Service/Office,Europe-North,Liberal,Moderate,Strongly agree,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0060,25-34,Male,High School or less,Public sector,US West,Moderate Conservative,Moderate,Strongly agree,Slightly agree,Very worried,Neutral,High
P0061,35-44,Male,Master’s/PhD,Construction/Outdoor,Global South,Centrist,Moderate,Strongly agree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0062,45+,Other/Non-binary,High School or less,Tech/IT,Europe-North,Moderate Conservative,Very low,Slightly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,High
P0063,18-24,Male,High School or less,Service/Office,Europe-North,Moderate Liberal,High,Slightly agree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0064,45+,Female,Bachelor’s,Tech/IT,Other,Moderate Liberal,Moderate,Slightly agree,Slightly disagree,Somewhat not worried,Not oriented to action,High
P0065,18-24,Male,Bachelor’s,Tech/IT,US South,Liberal,Moderate,Slightly agree,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0066,18-24,Male,Bachelor’s,Manufacturing/Industrial,US South,Liberal,Very low,Slightly agree,Slightly disagree,Somewhat not worried,Somewhat inactive,Low
P0067,35-44,Male,High School or less,Education/Academic,US West,Moderate Conservative,Very low,Strongly agree,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0068,18-24,Male,High School or less,Tech/IT,Global South,Moderate Liberal,Low,Strongly agree,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0069,35-44,Male,High School or less,Environmental/NGO,US West,Centrist,Very low,Neutral,Slightly disagree,Somewhat worried,Somewhat inactive,High
P0070,25-34,Female,Bachelor’s,Education/Academic,US South,Centrist,Very low,Slightly agree,Slightly disagree,Very worried,Somewhat inactive,Low
P0071,35-44,Male,High School or less,Service/Office,Europe-North,Liberal,Very low,Neutral,Neutral,Very worried,Neutral,Low
P0072,35-44,Female,Bachelor’s,Manufacturing/Industrial,Global South,Conservative,High,Slightly disagree,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0073,45+,Female,High School or less,Education/Academic,US West,Conservative,Low,Strongly disagree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0074,45+,Female,High School or less,Service/Office,US South,Centrist,Moderate,Slightly agree,Strongly agree,Very worried,Neutral,Medium
P0075,35-44,Male,Master’s/PhD,Farming/Agriculture,Global South,Moderate Conservative,Moderate,Slightly agree,Neutral,Neutral / not very worried,Not oriented to action,Low
P0076,35-44,Male,Bachelor’s,Tech/IT,Global South,Conservative,Moderate,Slightly disagree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0077,35-44,Male,Bachelor’s,Environmental/NGO,US South,Moderate Conservative,Moderate,Slightly disagree,Slightly disagree,Somewhat not worried,Somewhat inactive,Medium
P0078,25-34,Female,Master’s/PhD,Public sector,US Northeast,Liberal,High,Neutral,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0079,18-24,Female,Master’s/PhD,Service/Office,Europe-North,Conservative,Very high,Strongly disagree,Strongly agree,Somewhat worried,Neutral,High
P0080,35-44,Female,Master’s/PhD,Construction/Outdoor,US Northeast,Conservative,Moderate,Slightly agree,Slightly disagree,Very worried,Somewhat inactive,Medium
P0081,25-34,Male,High School or less,Education/Academic,Other,Moderate Conservative,High,Slightly agree,Strongly agree,Neutral / not very worried,Somewhat inactive,Medium
P0082,25-34,Male,Master’s/PhD,Construction/Outdoor,US West,Centrist,Very high,Slightly agree,Strongly agree,Not worried at all,Somewhat inactive,Medium
P0083,45+,Female,High School or less,Tech/IT,Europe-North,Moderate Conservative,Very high,Neutral,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0084,45+,Female,Bachelor’s,Tech/IT,Europe-North,Moderate Conservative,Low,Neutral,Slightly disagree,Neutral / not very worried,Somewhat inactive,Low
P0085,35-44,Male,Bachelor’s,Tech/IT,Global South,Liberal,High,Slightly agree,Strongly agree,Very worried,Neutral,Medium
P0086,45+,Female,Master’s/PhD,Education/Academic,US South,Moderate Conservative,High,Slightly disagree,Slightly agree,Somewhat worried,Somewhat inactive,High
P0087,45+,Male,Master’s/PhD,Public sector,Global South,Conservative,Very low,Strongly disagree,Neutral,Somewhat not worried,Somewhat inactive,High
P0088,35-44,Female,Bachelor’s,Tech/IT,Europe-North,Moderate Conservative,Very low,Strongly agree,Slightly agree,Very worried,Neutral,Low
P0089,35-44,Other/Non-binary,High School or less,Farming/Agriculture,Global South,Conservative,Moderate,Neutral,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0090,35-44,Male,Master’s/PhD,Construction/Outdoor,US West,Moderate Conservative,Moderate,Strongly disagree,Slightly agree,Neutral / not very worried,Somewhat inactive,High
P0091,25-34,Male,Bachelor’s,Service/Office,Other,Liberal,High,Strongly agree,Slightly disagree,Somewhat not worried,Somewhat inactive,High
P0092,35-44,Female,Master’s/PhD,Service/Office,US West,Liberal,Very high,Slightly agree,Strongly agree,Neutral / not very worried,Neutral,Medium
P0093,35-44,Male,Master’s/PhD,Manufacturing/Industrial,US Midwest,Centrist,Very high,Neutral,Strongly agree,Very worried,Neutral,Low
P0094,25-34,Male,Master’s/PhD,Farming/Agriculture,Global South,Liberal,Very high,Strongly agree,Strongly agree,Somewhat worried,Neutral,High
P0095,18-24,Female,High School or less,Manufacturing/Industrial,US Midwest,Liberal,Low,Strongly agree,Slightly disagree,Somewhat worried,Somewhat inactive,Low
P0096,35-44,Male,Bachelor’s,Environmental/NGO,US Northeast,Moderate Conservative,Low,Neutral,Neutral,Not worried at all,Not oriented to action,High
P0097,35-44,Male,Bachelor’s,Service/Office,Other,Liberal,Very high,Strongly agree,Strongly agree,Somewhat worried,Neutral,Medium
P0098,35-44,Male,Master’s/PhD,Service/Office,US West,Centrist,Very high,Neutral,Slightly agree,Neutral / not very worried,Somewhat inactive,Low
P0099,45+,Male,Bachelor’s,Manufacturing/Industrial,US South,Centrist,High,Strongly agree,Strongly agree,Neutral / not very worried,Somewhat inactive,Medium
P0100,18-24,Other/Non-binary,High School or less,Education/Academic,US Northeast,Liberal,Low,Slightly agree,Neutral,Somewhat worried,Somewhat inactive,Medium
P0101,25-34,Male,Bachelor’s,Tech/IT,Global South,Conservative,Low,Strongly disagree,Neutral,Somewhat worried,Somewhat inactive,Medium
P0102,25-34,Female,High School or less,Farming/Agriculture,Global South,Moderate Liberal,Low,Slightly agree,Slightly disagree,Neutral / not very worried,Somewhat inactive,Low
P0103,45+,Female,Bachelor’s,Farming/Agriculture,Other,Moderate Conservative,High,Strongly agree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0104,18-24,Female,Bachelor’s,Service/Office,US Midwest,Centrist,Very high,Neutral,Strongly agree,Somewhat worried,Neutral,Medium
P0105,25-34,Female,Master’s/PhD,Tech/IT,US Northeast,Liberal,Very high,Strongly agree,Strongly agree,Somewhat worried,Neutral,Medium
P0106,35-44,Male,High School or less,Education/Academic,US Midwest,Moderate Liberal,High,Slightly agree,Strongly agree,Neutral / not very worried,Somewhat inactive,High
P0107,25-34,Female,High School or less,Manufacturing/Industrial,US South,Liberal,High,Strongly agree,Strongly agree,Neutral / not very worried,Neutral,High
P0108,25-34,Female,Bachelor’s,Public sector,Global South,Liberal,Low,Strongly agree,Strongly agree,Somewhat not worried,Somewhat inactive,Low
P0109,35-44,Female,Bachelor’s,Service/Office,US Midwest,Liberal,High,Slightly agree,Slightly agree,Somewhat not worried,Somewhat inactive,Low
P0110,18-24,Female,High School or less,Tech/IT,Europe-North,Moderate Liberal,High,Strongly agree,Strongly agree,Very worried,Neutral,Medium
P0111,18-24,Female,Master’s/PhD,Service/Office,Global South,Moderate Conservative,Moderate,Slightly agree,Strongly agree,Very worried,Neutral,Medium
P0112,45+,Female,High School or less,Education/Academic,US West,Moderate Conservative,Low,Slightly agree,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0113,35-44,Female,Bachelor’s,Construction/Outdoor,US Northeast,Moderate Liberal,High,Strongly agree,Strongly agree,Somewhat worried,Neutral,Medium
P0114,35-44,Male,Master’s/PhD,Farming/Agriculture,Global South,Conservative,Moderate,Slightly disagree,Slightly agree,Somewhat worried,Neutral,Low
P0115,45+,Male,Master’s/PhD,Tech/IT,US South,Centrist,Very high,Strongly agree,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0116,45+,Female,High School or less,Manufacturing/Industrial,US West,Moderate Liberal,Moderate,Strongly agree,Slightly agree,Somewhat worried,Neutral,Medium
P0117,25-34,Female,Master’s/PhD,Tech/IT,US Northeast,Liberal,High,Strongly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Low
P0118,45+,Male,Bachelor’s,Construction/Outdoor,US South,Conservative,Low,Neutral,Neutral,Somewhat not worried,Not oriented to action,Medium
P0119,25-34,Female,Master’s/PhD,Tech/IT,Global South,Moderate Conservative,Moderate,Neutral,Slightly agree,Somewhat worried,Neutral,Medium
P0120,25-34,Male,High School or less,Environmental/NGO,US West,Liberal,Very high,Strongly agree,Slightly agree,Very worried,Neutral,Low
P0121,45+,Female,High School or less,Service/Office,Global South,Liberal,High,Strongly agree,Neutral,Neutral / not very worried,Somewhat inactive,Low
P0122,18-24,Male,Bachelor’s,Tech/IT,US South,Moderate Liberal,High,Slightly agree,Strongly agree,Somewhat worried,Neutral,Medium
P0123,45+,Female,Master’s/PhD,Service/Office,Other,Conservative,High,Neutral,Strongly agree,Neutral / not very worried,Neutral,Low
P0124,45+,Female,High School or less,Manufacturing/Industrial,Europe-North,Conservative,Low,Slightly agree,Slightly disagree,Somewhat not worried,Not oriented to action,Medium
P0125,45+,Male,Master’s/PhD,Construction/Outdoor,US West,Conservative,High,Neutral,Strongly agree,Very worried,Neutral,High
P0126,35-44,Male,Master’s/PhD,Service/Office,US Northeast,Conservative,Moderate,Slightly disagree,Neutral,Very worried,Neutral,Medium
P0127,45+,Female,High School or less,Tech/IT,US West,Liberal,Very high,Strongly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Low
P0128,35-44,Male,High School or less,Manufacturing/Industrial,US Northeast,Moderate Liberal,Low,Strongly agree,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0129,18-24,Female,High School or less,Construction/Outdoor,US West,Centrist,High,Slightly agree,Slightly agree,Very worried,Neutral,Low
P0130,18-24,Female,Bachelor’s,Environmental/NGO,Europe-North,Moderate Liberal,High,Slightly agree,Strongly disagree,Very worried,Somewhat inactive,High
P0131,45+,Male,Bachelor’s,Tech/IT,Global South,Moderate Conservative,High,Strongly agree,Strongly agree,Somewhat not worried,Somewhat inactive,High
P0132,45+,Female,Bachelor’s,Tech/IT,Global South,Liberal,Moderate,Strongly agree,Strongly agree,Very worried,Neutral,High
P0133,18-24,Other/Non-binary,Bachelor’s,Environmental/NGO,Europe-North,Moderate Liberal,Moderate,Strongly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Low
P0134,25-34,Male,Bachelor’s,Public sector,Global South,Conservative,Moderate,Strongly disagree,Slightly agree,Somewhat worried,Neutral,Low
P0135,35-44,Female,Bachelor’s,Farming/Agriculture,Europe-North,Moderate Conservative,Moderate,Slightly agree,Strongly agree,Neutral / not very worried,Somewhat inactive,Medium
P0136,35-44,Male,Bachelor’s,Service/Office,US Northeast,Conservative,Moderate,Strongly disagree,Strongly agree,Not worried at all,Somewhat inactive,Low
P0137,18-24,Female,Bachelor’s,Education/Academic,Europe-North,Conservative,High,Slightly disagree,Slightly agree,Very worried,Neutral,High
P0138,45+,Male,Bachelor’s,Tech/IT,Europe-North,Moderate Conservative,Very low,Slightly agree,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0139,25-34,Female,High School or less,Construction/Outdoor,Global South,Centrist,Moderate,Slightly agree,Strongly agree,Very worried,Neutral,Medium
P0140,45+,Male,Master’s/PhD,Service/Office,US Midwest,Conservative,High,Strongly disagree,Strongly agree,Very worried,Neutral,Medium
P0141,45+,Male,High School or less,Farming/Agriculture,Europe-North,Conservative,Very low,Slightly disagree,Strongly disagree,Neutral / not very worried,Somewhat inactive,Low
P0142,35-44,Male,High School or less,Construction/Outdoor,Global South,Liberal,Moderate,Strongly agree,Neutral,Somewhat worried,Neutral,Medium
P0143,18-24,Male,Master’s/PhD,Tech/IT,Europe-North,Moderate Conservative,Moderate,Strongly agree,Strongly disagree,Neutral / not very worried,Not oriented to action,Medium
P0144,35-44,Male,Master’s/PhD,Education/Academic,Europe-North,Liberal,Low,Strongly agree,Strongly disagree,Very worried,Somewhat inactive,High
P0145,18-24,Male,High School or less,Tech/IT,US South,Conservative,Very low,Strongly disagree,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0146,18-24,Male,Bachelor’s,Service/Office,US Midwest,Conservative,High,Slightly disagree,Slightly agree,Neutral / not very worried,Somewhat inactive,Low
P0147,35-44,Female,High School or less,Farming/Agriculture,Europe-North,Centrist,Low,Neutral,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0148,35-44,Male,Master’s/PhD,Service/Office,Global South,Moderate Conservative,High,Strongly agree,Strongly agree,Somewhat worried,Somewhat inactive,Medium
P0149,25-34,Female,High School or less,Tech/IT,Global South,Conservative,Very low,Slightly agree,Neutral,Somewhat worried,Somewhat inactive,Medium
P0150,35-44,Male,High School or less,Farming/Agriculture,US South,Moderate Liberal,Moderate,Strongly agree,Slightly disagree,Very worried,Somewhat inactive,Medium
P0151,35-44,Male,Master’s/PhD,Service/Office,Europe-North,Centrist,High,Strongly agree,Slightly disagree,Somewhat worried,Somewhat inactive,Low
P0152,25-34,Male,High School or less,Service/Office,Global South,Moderate Conservative,Moderate,Neutral,Neutral,Somewhat worried,Somewhat inactive,Low
P0153,45+,Female,Bachelor’s,Service/Office,Europe-North,Liberal,Moderate,Strongly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0154,45+,Female,High School or less,Environmental/NGO,US West,Moderate Conservative,Moderate,Strongly disagree,Neutral,Somewhat worried,Somewhat inactive,Medium
P0155,35-44,Male,High School or less,Manufacturing/Industrial,US West,Centrist,Low,Slightly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,High
P0156,45+,Female,High School or less,Service/Office,Global South,Centrist,Low,Strongly agree,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0157,45+,Female,Master’s/PhD,Education/Academic,Europe-North,Liberal,High,Neutral,Slightly agree,Neutral / not very worried,Neutral,Medium
P0158,45+,Female,High School or less,Tech/IT,Europe-North,Moderate Conservative,High,Neutral,Strongly agree,Not worried at all,Somewhat inactive,High
P0159,18-24,Male,High School or less,Tech/IT,US West,Moderate Conservative,Very low,Slightly disagree,Slightly disagree,Very worried,Somewhat inactive,High
P0160,25-34,Male,Bachelor’s,Service/Office,US South,Liberal,Low,Strongly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Low
P0161,35-44,Female,Bachelor’s,Construction/Outdoor,US South,Centrist,High,Strongly disagree,Strongly agree,Very worried,Neutral,Medium
P0162,45+,Male,High School or less,Public sector,Global South,Moderate Liberal,Very high,Slightly agree,Strongly agree,Not worried at all,Somewhat inactive,Low
P0163,45+,Female,High School or less,Manufacturing/Industrial,Global South,Moderate Liberal,Moderate,Strongly agree,Slightly agree,Very worried,Neutral,Medium
P0164,45+,Female,High School or less,Tech/IT,Europe-North,Liberal,Moderate,Strongly agree,Slightly agree,Very worried,Neutral,Medium
P0165,45+,Male,Master’s/PhD,Farming/Agriculture,Europe-North,Conservative,High,Strongly disagree,Neutral,Somewhat worried,Somewhat inactive,High
P0166,45+,Male,Bachelor’s,Public sector,US Northeast,Centrist,Moderate,Neutral,Slightly disagree,Somewhat not worried,Somewhat inactive,High
P0167,45+,Male,Master’s/PhD,Environmental/NGO,US West,Centrist,Low,Strongly disagree,Strongly disagree,Somewhat not worried,Not oriented to action,High
P0168,35-44,Male,Master’s/PhD,Manufacturing/Industrial,Other,Centrist,High,Slightly disagree,Neutral,Somewhat worried,Neutral,High
P0169,18-24,Male,Bachelor’s,Manufacturing/Industrial,US Midwest,Moderate Conservative,Low,Neutral,Slightly disagree,Very worried,Somewhat inactive,Low
P0170,45+,Female,Bachelor’s,Farming/Agriculture,Europe-North,Liberal,Very high,Strongly agree,Strongly agree,Somewhat worried,Neutral,Medium
P0171,45+,Other/Non-binary,High School or less,Education/Academic,US Northeast,Moderate Conservative,Low,Strongly agree,Strongly agree,Somewhat worried,Neutral,Medium
P0172,35-44,Female,Bachelor’s,Manufacturing/Industrial,US Midwest,Conservative,High,Slightly disagree,Strongly agree,Very worried,Neutral,High
P0173,45+,Female,Bachelor’s,Service/Office,US West,Centrist,Moderate,Strongly agree,Strongly agree,Neutral / not very worried,Somewhat inactive,Low
P0174,18-24,Male,Bachelor’s,Farming/Agriculture,Europe-North,Liberal,Moderate,Strongly agree,Slightly agree,Very worried,Neutral,Medium
P0175,35-44,Male,High School or less,Tech/IT,US Northeast,Centrist,Low,Slightly agree,Neutral,Somewhat worried,Somewhat inactive,High
P0176,35-44,Female,Bachelor’s,Service/Office,Global South,Moderate Conservative,Moderate,Strongly agree,Strongly agree,Very worried,Neutral,Low
P0177,45+,Male,Master’s/PhD,Farming/Agriculture,US West,Moderate Conservative,Moderate,Strongly disagree,Slightly agree,Somewhat worried,Neutral,Low
P0178,25-34,Female,Master’s/PhD,Service/Office,Europe-North,Moderate Conservative,High,Neutral,Strongly agree,Very worried,Neutral,Medium
P0179,35-44,Female,High School or less,Farming/Agriculture,US Northeast,Moderate Liberal,Low,Slightly agree,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0180,25-34,Male,Master’s/PhD,Education/Academic,US Midwest,Moderate Conservative,High,Slightly disagree,Neutral,Very worried,Neutral,Medium
P0181,18-24,Male,Bachelor’s,Tech/IT,US Northeast,Moderate Conservative,Moderate,Slightly agree,Strongly agree,Somewhat not worried,Somewhat inactive,High
P0182,35-44,Male,Master’s/PhD,Education/Academic,US South,Centrist,Moderate,Slightly agree,Strongly agree,Very worried,Neutral,Medium
P0183,25-34,Male,High School or less,Environmental/NGO,Global South,Conservative,Low,Neutral,Neutral,Not worried at all,Not oriented to action,Low
P0184,35-44,Female,High School or less,Service/Office,US Midwest,Moderate Liberal,Low,Strongly agree,Slightly disagree,Somewhat worried,Somewhat inactive,Low
P0185,45+,Other/Non-binary,Bachelor’s,Environmental/NGO,Europe-North,Liberal,High,Strongly agree,Slightly agree,Somewhat not worried,Somewhat inactive,Low
P0186,18-24,Female,High School or less,Manufacturing/Industrial,Europe-North,Centrist,Very low,Strongly agree,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0187,35-44,Female,High School or less,Environmental/NGO,US Northeast,Conservative,Very low,Slightly agree,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
